A. Sai Teja | 0014290 | added instructormail schema
Nikhil2385 | 75af126 | resolved student-html error
Nikhil2385 | a1653d3 | Added search option and progress Page to Student-Dashboard
Nikhil2385 | d23e8c0 | changed the wrong student-html page
Nikhil2385 | fa7aac8 | Added new Admin Contact Token System to Instructor 'and Frontend of Contact system
Nikhil2385 | fb6ef34 | Added dynamic HTML token approval fetching
SAI TEJA ALA | 0d81d2c | Merge pull request #16 from namith-1/main
SAI TEJA ALA | 0e357f9 | Merge pull request #34 from namith-1/main
SAI TEJA ALA | 0e926a7 | Merge pull request #36 from namith-1/Teacher-UI-backend-edit
SAI TEJA ALA | 178295b | Merge pull request #29 from namith-1/main
SAI TEJA ALA | 186457f | Merge pull request #19 from namith-1/admin-edit
SAI TEJA ALA | 21ede2b | Merge pull request #1 from namith-1/UI
SAI TEJA ALA | 36477d6 | Merge pull request #26 from namith-1/Student_Dashboard
SAI TEJA ALA | 46f3045 | Merge pull request #42 from namith-1/Student_Dashboard
SAI TEJA ALA | 49f66d5 | Merge pull request #2 from namith-1/UI
SAI TEJA ALA | 4e787b7 | Merge pull request #47 from namith-1/Student_Dashboard
SAI TEJA ALA | 5003e1c | Merge pull request #35 from namith-1/main
SAI TEJA ALA | 5569609 | Merge pull request #15 from namith-1/Tharun
SAI TEJA ALA | 56fb4cd | Merge pull request #6 from namith-1/Teacher-UI-backend-edit
SAI TEJA ALA | 579206a | Merge pull request #18 from namith-1/UI
SAI TEJA ALA | 599ff50 | Merge pull request #30 from namith-1/Student_Dashboard
SAI TEJA ALA | 5f4b6b8 | Merge pull request #4 from namith-1/Tharun
SAI TEJA ALA | 5f65e2a | Merge pull request #51 from namith-1/Student_Dashboard
SAI TEJA ALA | 6143e6e | Merge pull request #21 from namith-1/UI
SAI TEJA ALA | 7b1531a | Merge pull request #13 from namith-1/main
SAI TEJA ALA | 7be4910 | Merge pull request #44 from namith-1/admin-edit
SAI TEJA ALA | 7cec760 | Merge pull request #12 from namith-1/UI
SAI TEJA ALA | 8860ecd | Merge pull request #48 from namith-1/main
SAI TEJA ALA | 89a172e | Merge pull request #3 from namith-1/UI
SAI TEJA ALA | 8bec751 | Merge pull request #31 from namith-1/main
SAI TEJA ALA | 915d66e | Merge pull request #28 from namith-1/Tharun
SAI TEJA ALA | 925d7c2 | Merge pull request #11 from namith-1/UI
SAI TEJA ALA | 9361920 | Merge pull request #40 from namith-1/Teacher-UI-backend-edit
SAI TEJA ALA | 93decbf | Merge pull request #38 from namith-1/Student_Dashboard
SAI TEJA ALA | 95548cf | Merge pull request #25 from namith-1/main
SAI TEJA ALA | 95d1f72 | Merge pull request #27 from namith-1/main
SAI TEJA ALA | 9c8bfdf | Merge pull request #8 from namith-1/admin-edit
SAI TEJA ALA | a74b3cb | Merge pull request #24 from namith-1/admin-edit
SAI TEJA ALA | a821da8 | Merge pull request #14 from namith-1/UI
SAI TEJA ALA | aa313fe | Merge pull request #23 from namith-1/Student_Dashboard
SAI TEJA ALA | b537965 | Merge pull request #33 from namith-1/Tharun
SAI TEJA ALA | b79c6ba | Merge pull request #5 from namith-1/Teacher-UI-backend-edit
SAI TEJA ALA | bbf215a | Merge pull request #32 from namith-1/Student_Dashboard
SAI TEJA ALA | c03c7b0 | Merge pull request #45 from namith-1/main
SAI TEJA ALA | c29b354 | Merge pull request #20 from namith-1/main
SAI TEJA ALA | c5000aa | Merge pull request #43 from namith-1/main
SAI TEJA ALA | c747889 | Merge pull request #37 from namith-1/Tharun
SAI TEJA ALA | ca320a5 | Merge branch 'main' into UI
SAI TEJA ALA | d520e71 | Merge pull request #17 from namith-1/main
SAI TEJA ALA | d9b29d8 | Merge pull request #41 from namith-1/main
SAI TEJA ALA | da59270 | Merge branch 'main' into Student_Dashboard
SAI TEJA ALA | dee511c | Merge pull request #22 from namith-1/main
SAI TEJA ALA | e45e267 | Merge branch 'main' into admin-edit
SAI TEJA ALA | e663495 | Merge pull request #39 from namith-1/main
Sri Charan | 01dc691 | Update courses.ejs
Sri charan | 213dc4d | connecting
Sri charan | 2908f04 | paymenst according to date
Sri Charan | 330cd2e | Update dashboard.ejs
Sri charan | 330f503 | auto refresh using dhtml
Sri charan | 54cb207 | connecting
Sri charan | 55c5d84 | connecting
Sri charan | 585bba4 | add schena
Sri charan | 671f869 | payments in admin
Sri charan | 68fa7bd | filgter in courses page+ payments (d,m,y)+top5 revenue courses
Sri charan | 69ef3bd | Merge branch 'main' of https://github.com/namith-1/Izumi_E_Learning
Sri charan | 6c435aa | corrected sidebar and filtering in user management
Sri charan | a8222bb | adding logout option to dashboard(admin)
Sri charan | a92f865 | complaints in admin
Sri charan | b0d1964 | connebt
Sri Charan | cfd3ffe | Merge pull request #9 from namith-1/main
Sri Charan | e4e91f1 | Update users.ejs
Sri charan | f3859ff | Initial commit
Sri charan | f5dfad5 | removal of redundancy
Sri Charan | f7ca59f | Update content.ejs
Tharun | 14cff41 | changed acc to slider butoon css
Tharun | 25b7bb7 | changed profile icon
Tharun | 268697b | fixed th js acc to html
Tharun | 2c30710 | changed tutor block
Tharun | 564cc26 | changed the ui and css of update profile
Tharun | 69e2fd1 | fixed landing page slider button
Tharun | 78ae5bd | changed the css,html of student daily thoughts
Tharun | 7f23e07 | added the home button at top left of the update  profile page
Tharun | a76cd9c | Merge branch 'main' of https://github.com/namith-1/Izumi_E_Learning
Tharun | aeed090 | changed acc to html
Tharun | bc2775d | Merge branch 'Tharun' of https://github.com/namith-1/Izumi_E_Learning into Tharun
Tharun | c6c01b2 | removed the help center from dropdown menu
Tharun | d85d844 | updated and changed css of delete account, added ui and added the home to the page
Tharun | e5fe80f | removed updates and accomplishments from dropdown menu in student home page and created a new page for my purchases and updated backend acc
Your Name | 23f3332 | main_project
